id,name,type,energy,protein,fat,sugar,pepper,all_veg,money,scores
1,莲藕排骨汤,1,212,12.51,11.61,0,0,0,5.5,1
2,大枣乌鸡汤,1,182,20.32,4.39,0,0,0,8,1
3,羊排萝卜汤,1,99,14.71,2.68,0,0,0,8,1
4,肉酱茄汁面,3,268,10.35,11.39,0,0,0,10,1
5,红烧牛肉刀削面,3,392,9.2,8,0,0,0,14,1
6,卤狮子头,2,152,5.12,15.27,0,0,0,4,1
7,红烧茄子,1,75,1.1,4.57,0,0,1,6,1
8,肉丝豇豆,1,109,5.31,4.43,0,0,0,8,1
9,临沂炒鸡,1,387,36.56,22.18,0,1,0,15,1
10,香炸鸡翅根,2,102,8.64,7.24,0,0,0,3,1
11,木桶鸡肉饭,3,247,9.37,9,0,1,0,12,1
12,木桶香辣肥肠饭,3,405,7.37,26.8,0,1,0,18,1
13,木桶红烧肉饭,3,260,8.5,10.2,0,1,0,16,1
14,砂锅豆腐,1,109,11.18,6.28,0,0,1,6,1
15,砂锅小酥肉,1,234,12.8,13.9,0,0,0,9,1
16,铁板肥牛饭,3,301,13.8,20.7,0,0,0,20,1
17,铁板鸡排饭,3,235,8.7,10.9,0,0,0,12,1
18,铁板鸡柳饭,3,293,10.42,18.7,0,0,0,10,1
19,铁板排骨饭,3,314,13.26,21.59,0,1,0,15,1
20,锅包肉,1,427,30.25,28.5,0,0,0,15,1
21,酸菜汆白肉,1,297,23.69,19.77,0,0,0,13,1
22,金汤肥牛,1,204,17.88,11.53,0,1,0,15,1
23,鱼香鸡丝,1,170,14.1,7.3,0,1,0,8,1
24,羊肉冒菜,1,218,26.35,6.73,0,1,0,7,1
25,煎饺抱蛋,0,274,7.69,12.83,0,0,0,8,1
26,茶叶蛋,2,88,7.49,6.04,0,0,1,1,1
27,海鲜鸡蛋羹,2,66,5.99,3.56,0,0,0,3.5,1
28,水晶虾饺,2,54,2.09,2.38,0,0,0,3,1
29,肉丝酸菜米粉,3,297,7.42,8.56,0,1,0,8,1
30,碎肉米粉,3,180,4.16,6.01,0,0,0,6,1
31,牛肉米粉,3,313,14.86,7.67,0,1,0,12,1
32,白糖饼,2,170,3.76,2.57,0,0,1,2,1
33,腊汁肉夹馍,0,396,27.33,9.71,0,0,0,6,1
34,烤羊肉串,1,226,20.34,15.43,0,1,0,7,1
35,烤牛肉串,1,267,25.91,17.32,0,1,0,7,1
36,烤面筋,1,152,17.7,9.4,0,1,0,2,1
