id,name,type,energy,protein,fat,sugar,pepper,all_veg,money,scores
1,十全满溢披萨,3,518,20.14,25,0,0,0,48,1
2,烤鸡肉披萨,3,504,22.2,17.2,0,0,0,36,1
3,夏威夷风光披萨,3,500,21.2,23,0,0,0,32,1
4,培根辣味肠披萨,3,564.5,51.62,52.43,0,0,0,32,1
5,金枪鱼披萨,3,387,35.81,12.77,0,0,0,48,1
6,水果披萨,3,337,13.13,12.02,0,0,0,32,1
7,咖喱鸡肉焗饭,3,296,10,10,0,0,0,16,1
8,9寸黑椒烤牛肉披萨,3,450,16,25,0,0,0,48,1
9,意式番茄牛肉意面,3,202,11.7,7.4,0,0,0,16,1
10,咖喱猪扒饭,3,328,11,10.4,0,0,0,13,1
11,菠萝鸡肉芝士焗饭,3,247,9.37,9,0,0,0,16,1
12,黑椒鸡肉焗饭,3,247,9.37,9,0,0,0,16,1
13,黑椒牛肉焗饭,3,370,15.4,12.6,0,0,0,18,1
14,鸡排汉堡,3,198,8.4,4.6,0,0,0,6.5,1
15,双层芝士汉堡,3,319,14.77,15.15,0,0,0,7.5,1
16,香辣鸡腿堡,3,198,8.4,4.6,0,0,0,7.5,1
17,香煎黑椒牛排饭,3,370,15.4,12.6,0,0,0,26,1
18,尖椒炒肉拌面,3,392,28.2,14.8,0,0,0,13,1
19,老坛酸菜肉丝面,3,411,6.6,20,0,0,0,12,1
20,鸡蛋西红柿面,3,275,13.35,8.19,0,0,1,5,1
21,大盘鸡拌面,3,323,16.9,7.46,0,1,0,9,1
22,番茄牛肉面,3,331,10.7,7.8,0,0,0,13,1
23,肥肠面,3,341,12.38,16.2,0,1,0,17,1
24,卤肉面,3,324,29.8,19.4,0,0,0,8,1
25,油泼面,3,394,12.22,7.1,0,0,0,8,1
26,鱼蛋粉,3,316,17.8,19.8,0,0,0,12,1
27,羊肉原汤面,3,290,21.4,7.3,0,0,0,17,1
28,香菇肉酱拌面,3,284,9.4,2.6,0,1,0,14,1
29,老北京炸酱面,3,268,20.7,22.8,0,0,0,10,1
30,四川担担面,3,403,10.65,15.1,0,1,0,13,1
31,板面,3,353,9.7,2.1,0,1,1,10,1
32,排骨面,3,269,10.1,10.3,0,0,0,16,1
33,红烧牛肉面,3,372,9.3,10.8,0,0,0,16,1
34,兰州拉面,3,191,5.7,4.2,0,0,0,8,1
35,羊杂粉,3,352,31.2,8.9,0,0,0,16,1
36,特色烤肉拌饭,3,359,20.4,12.8,0,0,0,18,1
37,香辣鸡胗拌饭,3,285,21.6,2.56,0,0,0,16,1
38,香汁肥牛拌饭,3,474,17.8,28.3,0,0,0,18,1
39,香辣鸡肉拌饭,3,375,27,12,0,1,0,13,1
40,特色五花肉拌饭,3,376,9,12.4,0,0,0,16,1
41,孜然牛肉拌饭,3,463,30.3,20,0,0,0,18,1
42,藤椒鱼片饭,3,370,21.36,2.6,0,0,0,17,1
43,焦溜丸子饭,3,420,21.2,18.5,0,0,0,16,1
44,回锅鸡块饭,3,361,37.4,5.2,0,0,0,14,1
45,美味椒麻鸡饭,3,361,37.4,5.2,0,1,0,12,1
46,黄焖鸡米饭,3,361,37.4,5.2,0,0,0,12,1
47,糖醋里脊饭,3,441,22.1,19,0,0,0,14,1
48,香煎鸡腿排饭,3,410,20.65,11.7,0,0,0,12,1
49,东安仔鸡饭,3,361,37.4,5.2,0,1,0,17,1
50,奥尔良鸡排饭,3,410,20.65,11.7,0,0,0,14,1
51,孜然鸡排饭,3,410,20.65,11.7,0,0,0,13,1
52,金牌口水鸡饭,3,361,37.4,5.2,0,1,0,13,1
53,三杯鸡饭,3,361,37.4,5.2,0,0,0,16,1
