id,name,type,energy,protein,fat,sugar,pepper,all_veg,money,scores
1,卤汁牛肉面（小）,0,208.7,9.91,5.11,0,0,0,10,1
2,卤汁牛肉面（大）,3,313,14.86,7.67,0,0,0,12,1
3,沙茶牛肉面（小）,0,271,13.19,11.02,0,0,0,10,1
4,沙茶牛肉面（大）,3,406.5,19.79,16.53,0,0,0,12,1
5,厦门沙茶面（小）,0,333.3,16.47,16.93,0,0,0,8,1
6,厦门沙茶面（大）,3,500,24.71,25.39,0,0,0,12,1
7,至尊虾仁披萨,0,279,12.43,11.82,0,0,0,9,1
8,至尊牛肉披萨,0,265,10.64,12.14,0,0,0,8,1
9,猪肉烧麦,1,177,7.59,3.5,0,0,0,1.4,1
10,酥皮馅饼,1,286,7.6,14.1,0,0,1,3.5,1
11,烤牛肉烧饼,0,361,19.21,22.53,0,0,0,5,1
12,粘豆包,2,288,7.35,3.64,0,0,1,3,1
13,菜团子,2,86,4.1,0,0,0,1,1,1
14,玉米面发糕,2,193,4.39,1.21,0,0,1,0.4,1
15,糖火烧,2,373,9.13,14.98,1,0,1,2.5,1
16,红豆窝头,2,175,4.1,1.85,1,0,1,1,1
17,抹茶三角,2,65,2.28,1.02,1,0,1,3.5,1
18,虎皮咖啡卷,2,177,2.18,7.14,0,0,1,3.5,1
19,凉拌荞麦面（小）,0,224,9.59,0.24,0,0,1,8,1
20,凉拌荞麦面（大）,3,336,14.38,0.71,0,0,1,10,1
21,凉拌鸡丝荞麦面（小）,0,245,12,5,0,0,0,10,1
22,凉拌鸡丝荞麦面（大）,3,367,17,7,0,0,0,12,1
23,土豆烧排骨,1,226,12.2,12.61,0,0,0,10,1
24,重庆辣子鸡,1,194,18.28,11.09,0,1,0,6,1
25,清炒西兰花,1,33,1.13,2.2,0,0,1,6,1
26,香芹照烧鸡腿肉,1,171,28.05,5.61,0,1,0,12,1
27,黄焖香菇鸡（小）,1,180,18.15,10.5,0,0,0,6,1
28,黄焖香菇鸡（大）,1,360,36.3,21,0,0,0,12,1
29,勺园腌笃鲜,1,350,23,17,0,0,0,12,1
30,酱烧鸡腿,1,171,28.05,5.61,0,0,0,5,1
31,苦瓜腊肉（小）,1,75,7.04,3.1,0,0,0,6,1
32,苦瓜腊肉（大）,1,150,14.08,6.19,0,0,0,12,1
33,黑椒鲍菇牛肉粒,1,244,20.33,13.54,0,1,0,8,1
